Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
CSPB 1300,Computer Science 1: Starting Computing,"Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in a range of application domains. Appropriate for students with little to no experience in computing or programming. Degree credit not granted for this course and <a href=""/search/?p=CSCI%201310"" data-action=""result-detail"" data-group=""code:CSCI 1310""  class=""notoffered"">CSCI 1310</a> or <a href=""/search/?p=CSCI%201320"" data-action=""result-detail"" data-group=""code:CSCI 1320""  class=""notoffered"">CSCI 1320</a> or <a href=""/search/?p=ECEN%201310"" data-action=""result-detail"" data-group=""code:ECEN 1310"" >ECEN 1310</a>. Same as <a href=""/search/?p=CSCI%201300"" data-action=""result-detail"" data-group=""code:CSCI 1300"" >CSCI 1300</a>.",4,,UGRD
CSCI 7000,Varies by section,Covers research topics of current interest in computer science that do not fall into a standard subarea. May be repeated up to 18 total credit hours.,Varies by section,"A. Roncone, D. Grunwald, D. Gurari, M. Pacheco Gonzalez, M. Rivera, A. Hamza, A. Clauset",GRAD
CSPB 2400,Computer Systems,"Covers how programs are represented and executed by modern computers, including low-level machine representations of programs and data, an understanding of how computer components and the memory hierarchy influence performance. Same as <a href=""/search/?p=CSCI%202400"" data-action=""result-detail"" data-group=""code:CSCI 2400"" >CSCI 2400</a>.",4,,UGRD
CSCI 7422,Cognitive Science Research Practicum 2,"Independent, interdisciplinary research project in cognitive science for advanced graduate students pursuing a joint Ph.D in an approved core discipline and cognitive science. Research projects integrate at least two areas within the cognitive sciences: psychology, computer science, linguistics, education, philosophy. Students need commitments from two mentors for their project. Same as <a href=""/search/?p=EDUC%206516"" data-action=""result-detail"" data-group=""code:EDUC 6516"" >EDUC 6516</a> and <a href=""/search/?p=LING%207425"" data-action=""result-detail"" data-group=""code:LING 7425"" >LING 7425</a> and <a href=""/search/?p=PHIL%207425"" data-action=""result-detail"" data-group=""code:PHIL 7425"" >PHIL 7425</a> and <a href=""/search/?p=PSYC%207425"" data-action=""result-detail"" data-group=""code:PSYC 7425"" >PSYC 7425</a> and <a href=""/search/?p=SLHS%207428"" data-action=""result-detail"" data-group=""code:SLHS 7428""  class=""notoffered"">SLHS 7428</a>.",2,T. Sumner,GRAD
CSPB 2820,Linear Algebra with Computer Science Applications,"Introduces the fundamentals of linear algebra in the context of computer science applications.  Includes vector spaces, matrices, linear systems, and eigenvalues.  Includes the basics of floating point computation and numerical linear algebra. Same as <a href=""/search/?p=CSCI%202820"" data-action=""result-detail"" data-group=""code:CSCI 2820"" >CSCI 2820</a>.",3,,UGRD
CSPB 2270,Computer Science 2: Data Structures,"Studies data abstractions (e.g., stacks, queues, lists, trees, graphs, heaps, hash tables, priority queues) and their representation techniques (e.g., linking, arrays). Introduces concepts used in algorithm design and analysis including criteria for selecting data structures to fit their applications. Knowledge OF C++ is highly recommended. Degree credit not granted for this course and <a href=""/search/?p=CSCI%202275"" data-action=""result-detail"" data-group=""code:CSCI 2275"" >CSCI 2275</a>. Same as <a href=""/search/?p=CSCI%202270"" data-action=""result-detail"" data-group=""code:CSCI 2270"" >CSCI 2270</a>.",4,,UGRD
CSPB 3022,Introduction to Data Science with Probability and Statistics,"Introduces students to the tools methods and theory behind extracting insights from data. Covers algorithms of cleaning and munging data, probability theory and common distributions, statistical simulation, drawing inferences from data, and basic statistical modeling. Same as <a href=""/search/?p=CSCI%203022"" data-action=""result-detail"" data-group=""code:CSCI 3022"" >CSCI 3022</a>.",3,C. Craven,UGRD
CSPB 2824,Discrete Structures,"Covers foundational materials for computer science that is often assumed in advanced courses. Topics include set theory, Boolean algebra, functions and relations, graphs, propositional and predicate calculus, proofs, mathematical induction, recurrence relations, combinatorics, discrete probability. Focuses on examples based on diverse applications of computer science. Same as <a href=""/search/?p=CSCI%202824"" data-action=""result-detail"" data-group=""code:CSCI 2824"" >CSCI 2824</a>.",3,E. Stade,UGRD
CSCI 7772,Topics in Cognitive Science,"Reading of interdisciplinary innovative theories and methodologies of cognitive science. Students participate in the ICS Distinguished Speakers series that hosts internationally recognized cognitive scientists who share and discuss their current research. Session discussions include analysis of leading edge and controversial new approaches in cognitive science. Same as <a href=""/search/?p=EDUC%207775"" data-action=""result-detail"" data-group=""code:EDUC 7775""  class=""notoffered"">EDUC 7775</a> and <a href=""/search/?p=LING%207775"" data-action=""result-detail"" data-group=""code:LING 7775"" >LING 7775</a> and <a href=""/search/?p=PHIL%207810"" data-action=""result-detail"" data-group=""code:PHIL 7810"" >PHIL 7810</a> and <a href=""/search/?p=PSYC%207775"" data-action=""result-detail"" data-group=""code:PSYC 7775"" >PSYC 7775</a> and <a href=""/search/?p=SLHS%207775"" data-action=""result-detail"" data-group=""code:SLHS 7775"" >SLHS 7775</a>.",1,T. Sumner,GRAD
CSCI 7412,Cognitive Science Research Practicum,"Independent, interdisciplinary research project in cognitive science for advanced graduate students pursuing a joint PhD in an approved core discipline and cognitive science. Research projects integrate at least two areas within the cognitive sciences: psychology, computer science, linguistics, education, philosophy. Students need commitments from two mentors for their project. Recommended prerequisite: <a href=""/search/?p=EDUC%206505"" data-action=""result-detail"" data-group=""code:EDUC 6505""  class=""notoffered"">EDUC 6505</a>. Same as <a href=""/search/?p=EDUC%206506"" data-action=""result-detail"" data-group=""code:EDUC 6506"" >EDUC 6506</a> and <a href=""/search/?p=LING%207415"" data-action=""result-detail"" data-group=""code:LING 7415"" >LING 7415</a> and <a href=""/search/?p=PHIL%207415"" data-action=""result-detail"" data-group=""code:PHIL 7415"" >PHIL 7415</a> and <a href=""/search/?p=PSYC%207415"" data-action=""result-detail"" data-group=""code:PSYC 7415"" >PSYC 7415</a> and <a href=""/search/?p=SLHS%207418"" data-action=""result-detail"" data-group=""code:SLHS 7418""  class=""notoffered"">SLHS 7418</a>.",2,T. Sumner,GRAD
CSCI 4308,Software Engineering Project 1,"Senior capstone course in which students design, implement, document and test software systems for use in industry, non-profits, government and research institutions. Also offers extensive experience in oral and written communication throughout the development process. Department consent required. Department-enforced prerequisites differ for BS and BA degree. Contact academic advisor for details. Senior Capstone courses are optional for BA students. BA students interested in taking this course should contact their advisor early in their major.",Varies by section,A. Paradise,UGRD
CSCI 4133,Fundamentals of Computer Security,"Practice thinking like an attacker by exploring several modern computer security attacks and defenses through hands-on programming projects. Topics include applied cryptography (encryption, authentication), web security (XSS, CSRF, SQL Injection), network security (TLS, MITM attacks), application security (shell injection, buffer overflows), and other current events and trends (government surveillance, botnets, cryptocurrencies). Recommended corequisite: <a href=""/search/?p=CSCI%204593"" data-action=""result-detail"" data-group=""code:CSCI 4593""  class=""notoffered"">CSCI 4593</a> (soon to be <a href=""/search/?p=CSCI%203593"" data-action=""result-detail"" data-group=""code:CSCI 3593"" >CSCI 3593</a>). Degree credit not granted for this course and <a href=""/search/?p=ECEN%204133"" data-action=""result-detail"" data-group=""code:ECEN 4133"" >ECEN 4133</a>.",3,Y. Chen,UGRD
CSCI 4348,Startup Essentials: Entrepreneurial Projects in Computing,"Provide students with the tools to be successful technical co-founders of their own startups. Explores the initial stages of founding a startup, including team formation, idea validation, pivoting and pitching, while employing an iterative methodology. Student teams will develop a minimum viable product, pitch their final startup concept, and be evaluated on product/market fit. Department consent required. Department-enforced prerequisites differ for BS and BA degree. Contact academic advisor for details. Senior Capstone courses are optional for BA students. BA students interested in taking this course should contact their advisor(s) early in their major. Students must take this course and <a href=""/search/?p=CSCI%204358"" data-action=""result-detail"" data-group=""code:CSCI 4358""  class=""notoffered"">CSCI 4358</a> contiguously as the project spans the entire academic year. Degree credit not granted for this course and <a href=""/search/?p=CSCI%205340"" data-action=""result-detail"" data-group=""code:CSCI 5340"" >CSCI 5340</a>.",Varies by section,D. Brown,UGRD
CSPB 3104,Algorithms,"Covers the fundamentals of algorithms and various algorithmic strategies, including time and space complexity, sorting algorithms, recurrence relations, divide and conquer algorithms, greedy algorithms, dynamic programming, linear programming, graph algorithms, problems in P and NP, and approximation algorithms. Same as <a href=""/search/?p=CSCI%203104"" data-action=""result-detail"" data-group=""code:CSCI 3104"" >CSCI 3104</a>.",4,E. Reckwerdt,UGRD
CSPB 3155,Principles of Programming Languages,"Studies principles governing the design and analysis of programming languages and their underlying execution models. Explores values, scoping, recursion, higher-order functions, type systems, control structures, and objects. Introduces formal semantics as a framework for understanding programming features. Introduces advanced programming concepts such as functional programming, higher-order functions, immutable values and structures, inductive types, functors, continuation-passing; and object-oriented programming using inheritance, generics and covariance/contravariance in a functional programming language such as Scala. Same as <a href=""/search/?p=CSCI%203155"" data-action=""result-detail"" data-group=""code:CSCI 3155"" >CSCI 3155</a>.",4,E. Reckwerdt,UGRD
CSPB 3112,Professional Development in Computer Science,"Supports students in developing professional skills and practices in computing, including: preparing for technical and behavioral interviews, professional networking, mastering new technologies not addressed in the curriculum, presenting work, the role of graduate study, and exploring career and research directions.",1,,UGRD
CSPB 3308,Software Development Methods and Tools,"Covers tools and techniques for successful software development with a strong focus on best practices used in industry. Students work in small teams to complete a semester-long application development project. Students learn front-end design and construction using HTML &amp; CSS, back-end database design and construction, and full-stack integration. Students gain exposure to agile methodologies, web services, distributed version control, requirements definition, automated integration testing, and cloud-based application deployment. Same as <a href=""/search/?p=CSCI%203308"" data-action=""result-detail"" data-group=""code:CSCI 3308"" >CSCI 3308</a>.",3,,UGRD
CSPB 3287,Design and Analysis of Database Systems,"Introduces the fundamental concepts of database requirements analysis, database design, and database implementation with emphasis on the relational model and the SQL programming language. Introduces the concepts of Big Data and NoSQL systems. Same as <a href=""/search/?p=CSCI%203287"" data-action=""result-detail"" data-group=""code:CSCI 3287"" >CSCI 3287</a>.",3,,UGRD
CVEN 1317,Introduction to Civil and Environmental Engineering,"Surveys the broad subject of civil and environmental engineering and professional practice. Includes the subdisciplines of structures, water resources, geotechnics, transportation, environment, and construction. Discusses professional ethics, important skills for engineers, and the engineering design process as it fulfills multiple objectives.",1,A. Bielefeldt,UGRD
CSPB 4122,Information Visualization,"Studies interactive visualization techniques that help people analyze data. This course introduces design, development, and validation approaches for interactive visualizations with applications in various domains, including the analysis of text collections, software visualization, network analytics, and the biomedical sciences. It covers underlying principles, provides an overview of existing techniques, and teaches the background necessary to design innovative visualizations. Same as CSPB 4122.",3,K. Peterson,UGRD
CSPB 4502,Data Mining,"Introduces basic data mining concepts and techniques for discovering interesting patterns hidden in large-scale data sets, focusing on issues relating to effectiveness and efficiency. Topics covered include data preprocessing, data warehouse, association, classification, clustering, and mining specific data types such as time-series, social networks, multimedia, and Web data.  Same as <a href=""/search/?p=CSCI%205502"" data-action=""result-detail"" data-group=""code:CSCI 5502"" >CSCI 5502</a> and <a href=""/search/?p=CSCI%204502"" data-action=""result-detail"" data-group=""code:CSCI 4502"" >CSCI 4502</a>.",3,K. Peterson,UGRD
CVEN 2121,Analytical Mechanics 1,"Applies mechanics to the study of static equilibrium of rigid and elastic bodies. Includes composition/resolution of forces; moments/couples; equivalent force systems; free-body diagrams; equilibrium of particles and rigid bodies; forces in trusses/beams; frictional forces; first/second moments of area; moments and products of inertia. Degree credit not granted for this course and <a href=""/search/?p=GEEN%202851"" data-action=""result-detail"" data-group=""code:GEEN 2851"" >GEEN 2851</a> and <a href=""/search/?p=MCEN%202023"" data-action=""result-detail"" data-group=""code:MCEN 2023"" >MCEN 2023</a>.",3,F. Pourahmadian,UGRD
CSPB 4622,Machine Learning,"Introduces students to tools, methods, and theory to construct predictive and inferential models that learn from data. Focuses on supervised machine learning technique including practical and theoretical understanding of the most widely used algorithms (decision trees, support vector machines, ensemble methods, and neural networks). Emphasizes both efficient implementation of algorithms and understanding of mathematical foundations. Same as <a href=""/search/?p=CSCI%204622"" data-action=""result-detail"" data-group=""code:CSCI 4622"" >CSCI 4622</a>.",3,,UGRD
CSVC 1000,Work Internship,"Open to students in good academic standing, whose internship employers require that they receive course credit. The student must first seek to obtain academic credit through their major department. Will not count toward degree requirements in any UCB school or college. No appeals for credit toward degrees or for letter grades in the course will be entertained.",1,D. Mark,UGRD
CSPB 3702,Cognitive Science,"Introduces cognitive science, drawing from psychology, philosophy, artificial intelligence, neuroscience, and linguistics. Studies the linguistic relativity hypothesis, consciousness, categorization, linguistic rules, the mind-body problem, nature versus nurture, conceptual structure and metaphor, logic/problem solving and judgment. Emphasizes the nature, implications and limitations of the computational model of mind. Recommended prerequisites: <a href=""/search/?p=LING%202000"" data-action=""result-detail"" data-group=""code:LING 2000"" >LING 2000</a> or <a href=""/search/?p=PHIL%202440"" data-action=""result-detail"" data-group=""code:PHIL 2440"" >PHIL 2440</a> or <a href=""/search/?p=PSYC%202145"" data-action=""result-detail"" data-group=""code:PSYC 2145"" >PSYC 2145</a>. Same as <a href=""/search/?p=LING%203005"" data-action=""result-detail"" data-group=""code:LING 3005"" >LING 3005</a> and <a href=""/search/?p=PHIL%203310"" data-action=""result-detail"" data-group=""code:PHIL 3310"" >PHIL 3310</a> and <a href=""/search/?p=PSYC%203005"" data-action=""result-detail"" data-group=""code:PSYC 3005"" >PSYC 3005</a> and <a href=""/search/?p=SLHS%203003"" data-action=""result-detail"" data-group=""code:SLHS 3003"" >SLHS 3003</a> and <a href=""/search/?p=CSCI%203702"" data-action=""result-detail"" data-group=""code:CSCI 3702"" >CSCI 3702</a>.",3,E. Reckwerdt,UGRD
CVEN 3256,Construction Equipment and Methods,"Integrated study of construction equipment, methods, and economics. Topics include equipment productivity, equipment selection, and construction engineering design within economic constraints. Examples include earthmoving, concrete formwork, and temporary construction.",3,A. Bayona Malo,UGRD
CVEN 3246,Introduction to Construction,"Provides a broad view of concerns, activities, and objectives of people involved in construction: the owner, architect/engineer, contractor, labor and inspector. Interactive gaming situation relates these people to the construction contract, plans/specifications, estimates/bids, scheduling, law and financial management.  Students with a Business School Real Estate emphasis may be considered for this course.",3,"M. Morris, U. Techera Rocha",UGRD
CVEN 2012,Introduction to Geomatics,"Presents basic techniques of land and construction surveying, including measurement of position, elevation, orientation and length of lines, area, volume and layout calculations. Optical, GPS and GIS equipment and methods are included.",Varies by section,C. Senseney,UGRD
CVEN 3414,Fundamentals of Environmental Engineering,"Emphasizes chemical, ecological and hydrological fundamentals and importance of mass and energy balances in solving environmental engineering problems related to water quality, water and wastewater treatment, air pollution, solid and hazardous waste management, sustainability and risk assessment.",3,"S. Masters, K. Sholtes",UGRD
CVEN 3161,Mechanics of Materials 1,"Addresses concepts of stress and strain; material properties, axial loading, torsion, simple bending, and transverse shear; analysis of stress and strain; and deflections of beams. Includes selected experimental and computational laboratories. Degree credit not granted for this course and <a href=""/search/?p=MCEN%202063"" data-action=""result-detail"" data-group=""code:MCEN 2063"" >MCEN 2063</a>.",Varies by section,M. Hubler,UGRD
CVEN 3323,Hydraulic Engineering,"Studies hydraulic engineering theory and applications. Topics include incompressible flow in conduits, pipe system analysis and design, open channel flow, flow measurement, analysis and design of hydraulic machinery.",Varies by section,"R. Neupauer, J. Sholtes",UGRD
CVEN 3042,Advanced Engineering Drawing for Infrastructure,"Applying drawing and drafting skills for infrastructure projects using advanced CAD software tools. This course will provide an overview of general CAD standards related to civil engineering. Students will create and modify 3D infrastructure CAD models. Students will learn advanced topics, including terrain surface modeling and grading, earthwork calculations, horizontal and vertical alignment design, subsurface pipe design, and development of construction plans.",3,"J. Andryauskas, J. Branch",UGRD
CVEN 3313,Theoretical Fluid Mechanics,"Basic principles of fluid mechanic. Covers fluid properties, hydrostatics, fluid flow concepts, including continuity, energy, momentum, dimensional analysis and similitude and flow in closed conduits. Same as <a href=""/search/?p=CHEN%203200"" data-action=""result-detail"" data-group=""code:CHEN 3200""  class=""notoffered"">CHEN 3200</a> and <a href=""/search/?p=MCEN%203021"" data-action=""result-detail"" data-group=""code:MCEN 3021"" >MCEN 3021</a>.",Varies by section,,UGRD
CVEN 3525,Structural Analysis,"Studies structural analysis of statically determinate and indeterminate systems, deflections, energy methods, and force and stiffness methods.",3,"J. Song, U. Techera Rocha",UGRD
CVEN 3602,Transportation Systems,"Introduces the principles of transportation systems with a focus on highway engineering and traffic analysis. Provides the basic skill set that will allow students to solve transportation problems related with highway design and traffic control and analysis. Provides an introduction to technology, operating characteristics, and relative merits of highway, airway, waterway, railroad, pipeline, and convey or transportation systems.",3,"C. Torres-Machi, K. Sholtes",UGRD
CSCI 5854,Theoretical Foundations of Autonomous Systems,"Covers techniques for modeling, design and verification of autonomous systems and application domains including automotive systems, robotics and medical devices. Modeling topics include timed systems, differential equations, switched systems, hybrid dynamical systems. Verification topics: reachability and stability verification. Temporal specifications. Synthesis of controllers. Applications: automotive systems, medical devices.",3,V. Murali,GRAD
CSCI 5550,Designing for Defense 1,"Designing for Defense/Hacking for Defense is a national service program running at leading research universities across the country.  Interdisciplinary teams—chosen by competitive selection—work on real-world national security challenges, in close contact with national security agencies.  Teams employ the Lean Launchpad entrepreneurship methodology to develop engineering and business concepts to solve real-world challenges for special operations forces, the intelligence community, and other government agencies. Winning teams are eligible for real-world capital investment. The first semester of a two-course sequence. Students take this course, ASEN/CSCI/<a href=""/search/?p=CYBR%205550"" data-action=""result-detail"" data-group=""code:CYBR 5550"" >CYBR 5550</a>, and ASEN/CSCI/<a href=""/search/?p=CYBR%205580"" data-action=""result-detail"" data-group=""code:CYBR 5580""  class=""notoffered"">CYBR 5580</a> contiguously as the sequence spans the academic year. Same as <a href=""/search/?p=ASEN%205550"" data-action=""result-detail"" data-group=""code:ASEN 5550""  class=""notoffered"">ASEN 5550</a> and <a href=""/search/?p=CYBR%205550"" data-action=""result-detail"" data-group=""code:CYBR 5550"" >CYBR 5550</a>.",3,A. Meyer,GRAD
CSCI 5576,High-Performance Scientific Computing,"Introduces computing systems, software and methods used to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. First course in a two-semester sequence. Same as <a href=""/search/?p=CSCI%204576"" data-action=""result-detail"" data-group=""code:CSCI 4576"" >CSCI 4576</a>.",Varies by section,S. Runnels,GRAD
CSCI 5253,"Datacenter Scale Computing - Methods, Systems and Techniques","Covers the primary problem solving strategies, methods and tools needed for data-intensive programs using large collections of computers typically called &quot;warehouse scale&quot; or &quot;data-center scale&quot; computers. Examines methods and algorithms for processing data-intensive applications, methods for deploying and managing large collections of computers in an on-demand infrastructure and issues of large-scale computer system design. Recommended prerequisite: <a href=""/search/?p=CSCI%205273"" data-action=""result-detail"" data-group=""code:CSCI 5273"" >CSCI 5273</a>. Same as <a href=""/search/?p=CSCI%204253"" data-action=""result-detail"" data-group=""code:CSCI 4253"" >CSCI 4253</a> and <a href=""/search/?p=CSPB%204253"" data-action=""result-detail"" data-group=""code:CSPB 4253""  class=""notoffered"">CSPB 4253</a> and <a href=""/search/?p=ECEN%205253"" data-action=""result-detail"" data-group=""code:ECEN 5253""  class=""notoffered"">ECEN 5253</a>.",3,E. Keller,GRAD
CSCI 5840,Advanced Network Automation,"Combining lectures, lab experiments, and demonstrations, students in this course will develop advanced skills and knowledge in network automation technologies, services, and tools. They will learn to analyze, evaluate, and apply historical and future services needed for network functionality, maintenance, and troubleshooting. The course will cover a range of topics, from technical to soft skills, including best practices and key theories.",3,L. Perigo,GRAD
CSCI 5616,Introduction to Virtual Reality,"Introduces students to the field of virtual reality (VR). Covers the historical development of virtual reality technologies and virtual reality as a research field, the mathematics of 3D coordinate systems, fundamental principles, algorithms, and design patterns in developing interactive virtual environments, the perceptual science behind mixed reality technologies, and libraries and tools for creating VR experiences. Previously offered as a special topics course. Recommended prerequisite: <a href=""/search/?p=CSCI%202270"" data-action=""result-detail"" data-group=""code:CSCI 2270"" >CSCI 2270</a> or <a href=""/search/?p=CSCI%202275"" data-action=""result-detail"" data-group=""code:CSCI 2275"" >CSCI 2275</a> (minimum grade B). Same as <a href=""/search/?p=CSCI%204616"" data-action=""result-detail"" data-group=""code:CSCI 4616"" >CSCI 4616</a>, <a href=""/search/?p=ATLS%204616"" data-action=""result-detail"" data-group=""code:ATLS 4616"" >ATLS 4616</a>, <a href=""/search/?p=ATLS%205616"" data-action=""result-detail"" data-group=""code:ATLS 5616"" >ATLS 5616</a>.",3,P. Gyory,GRAD
CSCI 5273,Network Systems,"Focuses on design and implementation of network programs and systems, including topics in network protocols, architectures, client-server computing, software-driven networking, and other contemporary network hardware-software system design and programming techniques. Familiarity with C and Unix is required. Recommended prerequisites: <a href=""/search/?p=CSCI%204273"" data-action=""result-detail"" data-group=""code:CSCI 4273"" >CSCI 4273</a> and <a href=""/search/?p=CSCI%204573"" data-action=""result-detail"" data-group=""code:CSCI 4573""  class=""notoffered"">CSCI 4573</a>. Same as <a href=""/search/?p=ECEN%205273"" data-action=""result-detail"" data-group=""code:ECEN 5273"" >ECEN 5273</a>.",3,S. Ha,GRAD
CSCI 5535,Fundamental Concepts of Programming Languages,"Considers concepts common to a variety of programming languages--how they are described (both formally and informally) and how they are implemented. Provides a firm basis for comprehending new languages and gives insight into the relationship between languages and machines. Recommended prerequisite: <a href=""/search/?p=CSCI%203155"" data-action=""result-detail"" data-group=""code:CSCI 3155"" >CSCI 3155</a> or instructor consent required.  Same as <a href=""/search/?p=ECEN%205533"" data-action=""result-detail"" data-group=""code:ECEN 5533"" >ECEN 5533</a>.",3,G. Kaki,GRAD
CSCI 5817,Database Systems,"Provides an advanced treatment of basic database concepts. Recommended prerequisite: <a href=""/search/?p=CSCI%203753"" data-action=""result-detail"" data-group=""code:CSCI 3753"" >CSCI 3753</a>.",3,,GRAD
CSCI 5622,Machine Learning,"Trains students to build computer systems that learn from experience. Includes the three main subfields: supervised learning, reinforcement learning and unsupervised learning. Emphasizes practical and theoretical understanding of the most widely used algorithms (neural networks, decision trees, support vector machines, Q-learning). Covers connections to data mining and statistical modeling. A strong foundation in probability, statistics, multivariate calculus, and linear algebra is highly recommended.",3,"T. Chaspari, A. Gates",GRAD
CSCI 5260,Datacenter Networks,"Covers design and configuration principles required to build highly scalable and highly redundant network solutions used by datacenters. Class makes use of commercial grade equipment to build network toplogies and services. Students will work in teams to build a virtualized cluster, load balance application traffic between multiple server blades, assure high availability in Ethernet and IP layers, and able to prioritize important services using QoS. This lab-based course requires an average of 6 hours per week where the students are physically present in the CU Network Engineering Lab. Most lab exercises involve activities which require physical access to the hardware and cannot be done remotely. In addition to the lab time, students should also anticipate up to 6 additional hours of time for homework, reading, lab preparation and studying for exams.",3,J. Santos,GRAD
CVEN 3708,Geotechnical Engineering 1,"Covers basic engineering characteristics of geological materials; soil and rock classifications; site investigation; physical, mechanical, and hydraulic properties of geologic materials; the effective stress principle; soil and rock improvement; seepage analysis; stress distribution; and consolidation and settlement analyses.  Selected experimental and computational laboratories.",Varies by section,S. Madabhushi,UGRD
CVEN 3718,Geotechnical Engineering 2,"Covers stress analysis and plastic equilibrium, sheer strength of soil, bearing capacity, lateral earth pressures, slope stability and underground construction. Analysis and design of shallow and deep foundations, retaining walls and other earth and rock structures. Selected experimental and computational laboratories.",Varies by section,"Y. Zhang, K. Sholtes",UGRD
CVEN 4464,Environmental Engineering Processes,"Develops and utilizes analytic solutions for environmental process models that can be used in a) reactor design for processes used in the treatment of water, wastewater and hazardous waste and b) process analysis of natural systems, such as streams and groundwater flow. Models facilitate the tracking of contaminants in engineered and natural systems. Same as <a href=""/search/?p=CVEN%205464"" data-action=""result-detail"" data-group=""code:CVEN 5464"" >CVEN 5464</a> and <a href=""/search/?p=EVEN%204464"" data-action=""result-detail"" data-group=""code:EVEN 4464"" >EVEN 4464</a>.",3,J. Korak,UGRD
CVEN 4525,Computational Structural Analysis 1,"Covers the principles and formulations of the direct stiffness method and its transition to the finite element method with the computational modelling and analysis of framed structures in 2D plane and 3D space. The dynamic analysis and the introduction to the nonlinear structural problems are provided. Familiarity with the modern computing and programming environments is increased to address the needs in the structural engineering and mechanics area. Computer programming is applied to the solution of problems in structural analysis. Same as <a href=""/search/?p=CVEN%205525"" data-action=""result-detail"" data-group=""code:CVEN 5525"" >CVEN 5525</a>.",3,J. Song,UGRD
CVEN 4161,Mechanics of Materials 2,"Covers advanced topics in the mechanics of solids. Some topics such as asymmetric bending of beams, torsion of non-circular cross-sections, are extensions of topics seen in <a href=""/search/?p=CVEN%203161"" data-action=""result-detail"" data-group=""code:CVEN 3161"" >CVEN 3161</a>. Others like 3-D stress and strain analysis, failure theories and stability of columns and frames are new. Includes selected laboratory experiments. Same as <a href=""/search/?p=CVEN%205161"" data-action=""result-detail"" data-group=""code:CVEN 5161"" >CVEN 5161</a>.",Varies by section,M. Hubler,UGRD
CVEN 4555,Reinforced Concrete Design,"Applies basic principles of structural engineering and mechanics to the design of reinforced concrete structures, including design of beams, columns, slabs, and footings; continuous beams and frames; cast-in-place buildings.",3,A. Liel,UGRD
CVEN 4333,Engineering Hydrology,"Studies engineering applications of principles of hydrology, including hydrologic cycle, rainfall and runoff, groundwater, storm frequency and duration studies, stream hydrography, flood frequency, and flood routing.",3,"J. Kasprzyk, J. Sholtes",UGRD
CVEN 4404,Water Chemistry,"Introduces chemical fundamentals of inorganic aqueous compounds and contaminants in lecture and laboratory. Lecture topics include thermodynamics and kinetics of acids and base reactions, carbonate chemistry, air-water exchange, precipitation, dissolution, complexation, oxidation-reduction and sorption. Same as <a href=""/search/?p=EVEN%204404"" data-action=""result-detail"" data-group=""code:EVEN 4404"" >EVEN 4404</a>.",3,A. Bolhari,UGRD
CVEN 4511,Introduction to Finite Element Analysis,"Covers systematic formulation of finite element approximation and isoparametric interpolation (weighted residual and energy methods, triangular and quadrilateral elements). Includes computation applications to the solution of one- and two-dimensional stress-deformation problems and steady and transient heat conduction. Same as <a href=""/search/?p=CVEN%205511"" data-action=""result-detail"" data-group=""code:CVEN 5511"" >CVEN 5511</a>.",3,R. Regueiro,UGRD
CVEN 4897,Professional Issues in Civil Engineering,"Educates students about the knowledge and skills required for professional civil engineers. Students learn about the path to a professional license, prepare for the FE exam, analyze a situation involving multiple conflicting ethical interests, identify aspects of sustainability in civil engineering projects, and understand the role of project management, public policy, business and public administration, and leadership in civil engineering.",2,"K. Linden, Boulden/Hartmann",UGRD
CVEN 4545,Steel Design,"Applies basic principles of structural engineering and mechanics to design of steel structures; design of tension members, columns, beams, open-web joists, steel decks, bolts, bolted connections, welding processes, and welded connections.",3,U. Techera Rocha,UGRD
CVEN 4353,Groundwater Engineering,"Studies the occurrence, movement, extraction for use,and quantity and quality aspects of groundwater. Introduces and uses basic concepts to solve engineering and geohydrologic problems.",3,R. Neupauer,UGRD
CVEN 4833,Varies by section,May be repeated up to 18 total credit hours.,3,"M. Hoerling, A. Bhaskar",UGRD
CVEN 4834,Special Topics: Solid Waste,May be repeated up to 6 total credit hours provided topics are different.  Department consent required.,3,C. Mansfeldt,UGRD
CVEN 4414,Water Chemistry Laboratory,"Reinforces chemical fundamentals of inorganic aqueous compounds and contaminants from CVEN/<a href=""/search/?p=EVEN%204404"" data-action=""result-detail"" data-group=""code:EVEN 4404"" >EVEN 4404</a> in laboratory experiments and reports. Topics include acids and bases, carbonate chemistry (alkalinity) and other water chemistry characteristics (hardness, dissolved oxygen); precipitation, complexation and oxidation-reduction reactions; and laboratory techniques and reporting. Same as <a href=""/search/?p=EVEN%204414"" data-action=""result-detail"" data-group=""code:EVEN 4414"" >EVEN 4414</a>.",1,A. Bolhari,UGRD
CVEN 5006,Construction Engineering and Management Fundamentals,"Provides an overview of the construction industry to establish a foundation for subsequent graduate courses in construction engineering and management. Students will be exposed to projects of varying funding sources, contracts, scope and complexity. Project phases will be established including planning, funding, design, construction, turnover, operation and maintenance. The course will focus on fundamental construction cost estimating, scheduling, delivery systems, contractual relationships, key contract clauses, risk allocation, building materials/systems and project controls. Previously offered as a special topics course.",3,M. Morris,GRAD
